NDat,Taxon,Family,Order,Character,Reference,CharacterState,Value,Min,Max,Notes,NUsrcrDat,DcrDat,NUsrupDat,DupDat
126039,Abatia parviflora,Salicaceae,Malpighiales,100. Sex (D1),Warburg 1894 (EnglerPrantl),100. Sex (D1): (0) bisexual (structurally and functionally),,,,,Yannick Städler,09-Jul-13,,
126278,Abatia parviflora,Salicaceae,Malpighiales,102. Ovary position (D1),Warburg 1894 (EnglerPrantl),102. Ovary position (D1): (0) superior,,,,,Yannick Städler,09-Jul-13,,
126251,Abatia parviflora,Salicaceae,Malpighiales,201. Number of perianth parts (C1),Sleumer 1980 (FloraNeotropica),,,4,5,,Yannick Städler,09-Jul-13,,
126296,Abatia parviflora,Salicaceae,Malpighiales,201. Number of perianth parts (C1),Sleumer 1980 (FloraNeotropica),,,4,5,,Yannick Städler,09-Jul-13,,
126304,Abatia parviflora,Salicaceae,Malpighiales,204. Fusion of perianth (C1),Sleumer 1980 (FloraNeotropica),,,0.05,0.1,,Yannick Städler,09-Jul-13,,
126308,Abatia parviflora,Salicaceae,Malpighiales,207. Symmetry of perianth (D1),Sleumer 1980 (FloraNeotropica),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,Yannick Städler,09-Jul-13,,
126289,Abatia parviflora,Salicaceae,Malpighiales,230. Perianth phyllotaxy (D1),Sleumer 1980 (FloraNeotropica),230. Perianth phyllotaxy (D1): (0) whorled,,,,,Yannick Städler,09-Jul-13,,
126009,Abatia parviflora,Salicaceae,Malpighiales,231. Number of perianth whorls (C1),Ruiz & Pavón 1798 (book),,1,,,,Yannick Städler,09-Jul-13,,
126290,Abatia parviflora,Salicaceae,Malpighiales,231. Number of perianth whorls (C1),Sleumer 1980 (FloraNeotropica),,1,,,,Yannick Städler,09-Jul-13,,
126018,Abatia parviflora,Salicaceae,Malpighiales,232. Perianth merism (C1),Ruiz & Pavón 1798 (book),,4,,,,Yannick Städler,09-Jul-13,,
126292,Abatia parviflora,Salicaceae,Malpighiales,232. Perianth merism (C1),Sleumer 1980 (FloraNeotropica),,,4,5,,Yannick Städler,09-Jul-13,,
126252,Abatia parviflora,Salicaceae,Malpighiales,301. Number of fertile stamens (C1),Sleumer 1980 (FloraNeotropica),,,20,30,,Yannick Städler,09-Jul-13,Yannick Städler,09-Jul-13
126369,Abatia parviflora,Salicaceae,Malpighiales,305. Filament (D1),Warburg 1894 (EnglerPrantl),305. Filament (D1): (2) long and narrow,,,,,Yannick Städler,09-Jul-13,,
126396,Abatia parviflora,Salicaceae,Malpighiales,311. Anther orientation (D1),Warburg 1894 (EnglerPrantl),311. Anther orientation (D1): (0) introrse,,,,,Yannick Städler,09-Jul-13,,
126401,Abatia parviflora,Salicaceae,Malpighiales,312. Anther attachment (D1),Warburg 1894 (EnglerPrantl),312. Anther attachment (D1): (0) basifixed,,,,sub-basixed,Yannick Städler,09-Jul-13,Maria von Balthazar,27-Oct-15
126406,Abatia parviflora,Salicaceae,Malpighiales,313. Anther dehiscence (D1),Warburg 1894 (EnglerPrantl),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,Yannick Städler,09-Jul-13,,
126419,Abatia parviflora,Salicaceae,Malpighiales,401. Number of structural carpels (C1),Little 2001 (website),,3,,,,Yannick Städler,09-Jul-13,,
126025,Abatia parviflora,Salicaceae,Malpighiales,403. Fusion of ovaries (C1),Ruiz & Pavón 1798 (book),,1,,,,Yannick Städler,09-Jul-13,,
81772,Abelia triflora,Caprifoliaceae,Dipsacales,100. Sex (D1),Flora of Pakistan 2013 (website),100. Sex (D1): (0) bisexual (structurally and functionally),,,,,Florian Jabbour,25-Mar-13,,
81863,Abelia triflora,Caprifoliaceae,Dipsacales,102. Ovary position (D1),Flora of Pakistan 2013 (website),102. Ovary position (D1): (1) inferior,,,,,Florian Jabbour,25-Mar-13,,
81796,Abelia triflora,Caprifoliaceae,Dipsacales,201. Number of perianth parts (C1),Flora of Pakistan 2013 (website),,10,,,,Florian Jabbour,25-Mar-13,,
81799,Abelia triflora,Caprifoliaceae,Dipsacales,204. Fusion of perianth (C1),Flora of Pakistan 2013 (website),,0.4,,,Calyx,Florian Jabbour,25-Mar-13,,
81802,Abelia triflora,Caprifoliaceae,Dipsacales,204. Fusion of perianth (C1),Flora of Pakistan 2013 (website),,0.5,,,Corolla,Florian Jabbour,25-Mar-13,,
81807,Abelia triflora,Caprifoliaceae,Dipsacales,207. Symmetry of perianth (D1),Flora of Pakistan 2013 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,Florian Jabbour,25-Mar-13,,
152413,Abelia triflora,Caprifoliaceae,Dipsacales,230. Perianth phyllotaxy (D1),Flora of Pakistan 2014 (website),230. Perianth phyllotaxy (D1): (0) whorled,,,,,Elisabeth Reyes,11-Jun-14,,
81778,Abelia triflora,Caprifoliaceae,Dipsacales,231. Number of perianth whorls (C1),Flora of Pakistan 2013 (website),,2,,,,Florian Jabbour,25-Mar-13,,
81779,Abelia triflora,Caprifoliaceae,Dipsacales,232. Perianth merism (C1),Flora of Pakistan 2013 (website),,5,,,,Florian Jabbour,25-Mar-13,,
81786,Abelia triflora,Caprifoliaceae,Dipsacales,234. Perianth differentiation (D1),Flora of Pakistan 2013 (website),"234. Perianth differentiation (D1): (1) marked differentiation, outer sepaloid, inner petaloid",,,,,Florian Jabbour,25-Mar-13,,
188138,Abelia triflora,Caprifoliaceae,Dipsacales,301. Number of fertile stamens (C1),plantillustrations 2015 (website),,4,,,,Maria von Balthazar,27-Oct-15,,
188141,Abelia triflora,Caprifoliaceae,Dipsacales,305. Filament (D1),plantillustrations 2015 (website),305. Filament (D1): (1) present (general),,,,,Maria von Balthazar,27-Oct-15,,
188139,Abelia triflora,Caprifoliaceae,Dipsacales,330. Androecium structural phyllotaxy (D1),plantillustrations 2015 (website),330. Androecium structural phyllotaxy (D1): (0) whorled,,,,,Maria von Balthazar,27-Oct-15,,
