,100. Floral structural sex (D1),102. Ovary position (D1),201. Number of perianth parts (C1),204. Fusion of perianth (C1),207. Symmetry of perianth (D1),230. Perianth phyllotaxy (D1),231. Number of perianth whorls (C1),232. Perianth merism (C1),234. Perianth differentiation (D1),301. Number of fertile stamens (C1),305. Filament (D1),306. Fusion of filaments (C1),308. Fusion of filaments to inner perianth series (C1),311. Anther orientation (D1),312. Anther attachment (D1),313. Anther dehiscence (D1),314. Connective extension (apical) (D1),330. Androecium structural phyllotaxy (D1),331. Number of androecium structural whorls (C1),332. Androecium structural merism (C1),400. Gynoecium phyllotaxy (D1),401. Number of structural carpels (C1),403. Fusion of ovaries (C1),404. Style differentiation (D1),406. Fusion of styles (C1),411. Number of ovules per functional carpel (C1),412. Placentation (D1),5000. Number of apertures (C1),5002. Aperture shape (D1),
Aliciella_latifolia,="(0)",="(0)",="10",="50-60%",="(0)",="(0)",="2",="5",="(1)",="5",="",="0%",="",="(1)",="(1)",="(0)",="",="(0)",="1",="",="",="3",="100%",="",="100%",="17-28",="",="",="",
Ammannia_auriculata,="(0)",="",="4-8",="85%",="(0)",="(0)",="1-2",="4",="(04)",="4-8",="",="",="",="",="",="",="",="(0)",="1-2",="4",="",="",="",="(1)",="",="",="",="",="",
Ammannia_baccifera,="(0)",="",="4",="66%",="(0)",="(0)",="1",="4",="(0)",="4",="",="0%",="45%",="",="",="",="",="(0)",="1",="4",="",="",="",="(01)",="",="",="",="",="",
Ammannia_multiflora,="(0)",="",="8",="",="(0)",="(0)",="2",="4",="(4)",="4-8",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1)",="",="",="(0)",="",="",
Anchusa_crispa,="",="",="",="",="(0)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",
Anchusa_ovata,="(0)",="(0)",="",="",="",="",="",="",="",="5",="",="",="100%",="(0)",="(2)",="(0)",="",="",="",="",="",="2",="100%",="(1)",="100%",="2",="",="",="",
Androsace_maxima,="(0)",="(0)",="",="",="(0)",="",="",="5",="(1)",="5",="",="0%",="",="(0)",="",="(0)",="",="",="1",="",="",="5",="100%",="",="100%",="",="(5)",="",="",
Androsace_spinulifera,="(0)",="(0)",="10",="50%",="(0)",="(0)",="2",="5",="(1)",="5",="(B)",="0%",="95%",="",="",="",="",="(0)",="1",="5",="(0)",="",="100%",="(1)",="",="",="(5)",="",="",
Anigozanthos_flavidus,="(0)",="",="6",="80%",="(2)",="(0)",="2",="3",="(0)",="6",="",="0%",="",="(0)",="",="(0)",="",="(0)",="2",="3",="(0)",="3",="",="(1)",="",="",="(0)",="2",="(1)",
Anigozanthos_manglesii,="(0)",="",="6",="90%",="(2)",="(0)",="1",="6",="(0)",="6",="",="",="",="",="(0)",="(0)",="",="(0)",="",="",="",="",="",="(1)",="",="",="",="",="",
Averrhoa_carambola,="(0)",="(0)",="10",="10%",="(0)",="(0)",="2",="5",="(1)",="5-10",="(25)",="0%",="0%",="(0)",="(1)",="(0)",="(0)",="(0)",="2",="5",="(0)",="5",="100%",="(1)",="0%",="4",="(0)",="3",="(0)",
Bauhinia_galpinii,="(0)",="",="10",="0%",="(2)",="(0)",="2",="5",="(1)",="3",="(2)",="0%",="0%",="",="(1)",="",="(0)",="(0)",="2",="5",="",="1",="",="(3)",="",="",="(4)",="3",="(2)",
