family,genus
Acanthaceae,Chileranthemum
Acanthaceae,Odontonema (inc Justicia)
Acanthaceae,Oplonia
Acanthaceae,Pseuderanthemum
Acanthaceae,Ruellia
Acanthaceae,Ruspolia
Acanthaceae,Ruttya
Amaryllidaceae,Narcissus
Apocynaceae,Carissa
Apocynaceae,Catharanthus
Asparagaceae,Chlorogalum
Boraginaceae,Amsinckia
Boraginaceae,Anchusa
Boraginaceae,"Arnebia (inc Macrotomia, Echioides)"
Boraginaceae,Cordia
Boraginaceae,Cryptantha (inc Oreocarya)
Boraginaceae,Glandora
Boraginaceae,Lithodora
Boraginaceae,Lithospermum
Boraginaceae,Pulmonaria
Boraginaceae,Tournefortia
Boraginaceae,Varronia
Carlemanniaceae,Silvianthus
Connaraceae,Agelaea 
Connaraceae,Burttia
Connaraceae,Cnestidium
Connaraceae,Cnestis
Connaraceae,Connarus
Connaraceae,Ellipanthus
Connaraceae,Jollydora
Connaraceae,Pseudoconnarus
Connaraceae,"Rourea (inc Byrsocarpus, Jaundia, Santaloides)"
Connaraceae,Vismianthus
Ericaceae,Epacris
Ericaceae,Epigaea
Ericaceae,Kalmiopsis
Erythroxylaceae,Erythroxylum
Gelsemiaceae,Gelsemium
Gelsemiaceae,Mostuea
Gentianaceae,Curtia
Gentianaceae,Hockinia
Gentianaceae,Sebaea
Gentianaceae,Tapeinostemon
Gentianaceae,Voyriella
Gesneriaceae,Besleria
Gesneriaceae,Henckelia
Haemodoraceae,Anigozanthos
Hypericaceae,Cratoxylum
Hypericaceae,Eliea
Hypericaceae,Hypericum
Hypericaceae,Vismia
Icacinaceae,Nothapodytes
Iridaceae,Nivenia
Lamiaceae,Salvia
Leguminosae,Bauhinia
Leguminosae,Chamaecrista
Leguminosae,Gleditsia
Leguminosae,Senna
Leguminosae,Tylosema
Linaceae,Anisadenia
Linaceae,Hugonia
Linaceae,Linum
Linaceae,Reinwardtia
Linaceae,Tirpitzia 
Lythraceae,Adenaria
Lythraceae,Decodon
Lythraceae,Lythrum
Lythraceae,Nesaea
Lythraceae,Pemphis
Lythraceae,Rotala
Malvaceae,Durio
Malvaceae,Melochia
Malvaceae,Waltheria
Menyanthaceae,Liparophyllum
Menyanthaceae,Menyanthes
Menyanthaceae,Nephrophyllidium
Menyanthaceae,Nymphoides
Menyanthaceae,Villarsia
Oleaceae,Abeliophyllum
Oleaceae,Forsythia
Oleaceae,Jasminum
Oleaceae,Nyctanthes
Oleaceae,Schrebera
Onagraceae,Ludwigia
Oxalidaceae,Averrhoa
Oxalidaceae,Biophytum
Oxalidaceae,Dapania
Oxalidaceae,Oxalis
Oxalidaceae,Sarcotheca
Passifloraceae,Hyalocalyx
Passifloraceae,Loewia
Passifloraceae,Piriqueta
Passifloraceae,Stapfiella
Passifloraceae,Streptopetalum
Passifloraceae,Tricliceras
Passifloraceae,Turnera
Plumbaginaceae,Acantholimon
Plumbaginaceae,Armeria
Plumbaginaceae,Ceratostigma
Plumbaginaceae,Dyerophytum (inc Vogelia)
Plumbaginaceae,Goniolimon
Plumbaginaceae,Limoniastrum
Plumbaginaceae,Limonium
Plumbaginaceae,Plumbago
Polemoniaceae,Aliciella (inc Gilia)
Polygonaceae,Fagopyrum
Polygonaceae,Oxygonum 
Polygonaceae,Persicaria (inc Aconogonon)
Polygonaceae,Polygonum
Pontederiaceae,Eichhornia
Pontederiaceae,Pontederia
Primulaceae,Dionysia
Primulaceae,Hottonia
Primulaceae,Maesa
Primulaceae,Primula
Primulaceae,Vitaliana (inc Douglasia)
Rubiaceae,Agathisanthemum
Rubiaceae,Amphiasma
Rubiaceae,Anthorrhiza
Rubiaceae,Anthospermum
Rubiaceae,Antirhea
Rubiaceae,Aphaenandra
Rubiaceae,Arcytophyllum  (inc Anotis)
Rubiaceae,Asperula
Rubiaceae,Batopedina
Rubiaceae,Bouvardia
Rubiaceae,Carphalea (inc Dirichletia)
Rubiaceae,Chamaepentas
Rubiaceae,Chassalia (inc Chasallia)
Rubiaceae,Cinchona
Rubiaceae,Coccocypselum (inc Lipostoma)
Rubiaceae,Colletoecema
Rubiaceae,Coussarea
Rubiaceae,Craterispermum
Rubiaceae,Cremocarpon
Rubiaceae,Cruckshanksia
Rubiaceae,Damnacanthus
Rubiaceae,Danais
Rubiaceae,Declieuxia
Rubiaceae,Dendrosipanea
Rubiaceae,Dibrachionostylus
Rubiaceae,Diodia
Rubiaceae,Dunnia
Rubiaceae,Faramea
Rubiaceae,Gaertnera
Rubiaceae,Galianthe
Rubiaceae,Geophila
Rubiaceae,Gonzalagunia
Rubiaceae,Guettarda
Rubiaceae,Hedyotis (incl Houstonia)
Rubiaceae,Hedythyrsus
Rubiaceae,Heinsia
Rubiaceae,Hindsia
Rubiaceae,Houstonia
Rubiaceae,Hydnophytum
Rubiaceae,Hymenocoleus
Rubiaceae,Ixora
Rubiaceae,Joosia
Rubiaceae,Kadua (inc Gouldia)
Rubiaceae,Knoxia
Rubiaceae,Ladenbergia
Rubiaceae,Lasianthus
Rubiaceae,Lelya
Rubiaceae,Leptodermis
Rubiaceae,Luculia
Rubiaceae,Machaonia
Rubiaceae,Manettia
Rubiaceae,Manostachya
Rubiaceae,Metabolos (inc Allaeophania)
Rubiaceae,Mitchella
Rubiaceae,Mitracarpus
Rubiaceae,Morinda
Rubiaceae,Mouretia
Rubiaceae,Mussaenda (inc Aphaenandra)
Rubiaceae,Mycetia (inc Adenosacme)
Rubiaceae,Myrmecodia
Rubiaceae,Myrmephytum
Rubiaceae,Neanotis
Rubiaceae,Neobertiera
Rubiaceae,Neomussaenda
Rubiaceae,Nertera
Rubiaceae,Notopleura
Rubiaceae,Oldenlandia (inc Eionitis)
Rubiaceae,Ophiorrhiza
Rubiaceae,Otomeria (inc Tapinopentas)
Rubiaceae,Paederia
Rubiaceae,Pagamea
Rubiaceae,Palicourea
Rubiaceae,Paraknoxia
Rubiaceae,Parapentas
Rubiaceae,Pauridiantha
Rubiaceae,Pentaloncha
Rubiaceae,Pentanisia
Rubiaceae,Pentanopsis
Rubiaceae,Pentas
Rubiaceae,Pentodon
Rubiaceae,Perama
Rubiaceae,Phyllopentas
Rubiaceae,Phylohydrax
Rubiaceae,Pleiocraterium
Rubiaceae,Plocama (inc Aitchisonia)
Rubiaceae,Prismatomeris
Rubiaceae,Pseudomussaenda
Rubiaceae,Pseudopyxis
Rubiaceae,"Psychotria (inc Cephaelis, Grumeilea, Mapouria, Naletonia, Strempelia, Suteria, Uragoga)"
Rubiaceae,Pteridocalyx
Rubiaceae,Pyragra
Rubiaceae,Ramosmania
Rubiaceae,Raritebe
Rubiaceae,Remijia
Rubiaceae,Rennellia
Rubiaceae,Rondeletia
Rubiaceae,Rudgea
Rubiaceae,Sabicea
Rubiaceae,Sacosperma
Rubiaceae,Saprosma
Rubiaceae,Schismatoclada
Rubiaceae,Schizomussaenda
Rubiaceae,Schradera
Rubiaceae,Schwendenera
Rubiaceae,Serissa
Rubiaceae,Sipanea
Rubiaceae,Spermacoce (inc Borreria)
Rubiaceae,Spermadictyon
Rubiaceae,Spiradiclis
Rubiaceae,Stenaria
Rubiaceae,Stenotis
Rubiaceae,Stephanococcus
Rubiaceae,Stipularia
Rubiaceae,Temnopteryx
Rubiaceae,Thyridocalyx
Rubiaceae,Triainolepis
Rubiaceae,Tricalysia
Rubiaceae,Wendlandia
Rubiaceae,Xanthophytum (inc Siderobombyx)
Saxifragaceae,Jepsonia
Schoepfiaceae,Arjona
Schoepfiaceae,Quinchamalium
Schoepfiaceae,Schoepfia
Thymelaeaceae,Dais
